               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.019695,            0.015138,             0.00199,             0.99786,             0.99222,             0.99493,             0.77276,            0.018158,            0.011444,           0.0010899,           0.0096783,           0.0096783,           0.0096783
                  67,            0.020494,            0.015551,           0.0018083,             0.99702,             0.99447,              0.9947,             0.76143,            0.018888,            0.011349,          0.00097988,           0.0096733,           0.0096733,           0.0096733
                  68,             0.02037,            0.014635,           0.0018755,             0.99808,             0.99372,             0.99499,             0.78048,            0.017779,            0.011375,           0.0010478,           0.0096684,           0.0096684,           0.0096684
                  69,            0.019539,            0.014339,           0.0019334,              0.9975,             0.99446,             0.99498,             0.78117,             0.01796,            0.011314,           0.0010124,           0.0096634,           0.0096634,           0.0096634
                  70,            0.019266,            0.014883,           0.0018029,             0.99702,             0.99557,             0.99499,               0.778,            0.018209,            0.011098,           0.0010327,           0.0096585,           0.0096585,           0.0096585
                  71,            0.020884,            0.014868,            0.001758,             0.99742,             0.99435,             0.99497,             0.77601,            0.017704,            0.011284,          0.00095695,           0.0096535,           0.0096535,           0.0096535
                  72,             0.01964,            0.014556,           0.0017895,             0.99757,             0.99446,             0.99492,             0.77573,            0.017901,            0.011423,           0.0010685,           0.0096486,           0.0096486,           0.0096486
                  73,            0.020154,            0.015588,           0.0018044,             0.99836,             0.99526,             0.99483,             0.76835,            0.017968,             0.01137,             0.00101,           0.0096436,           0.0096436,           0.0096436
                  74,            0.019555,            0.014675,           0.0016934,             0.99763,              0.9941,             0.99474,             0.76129,            0.018427,            0.011506,           0.0010701,           0.0096387,           0.0096387,           0.0096387
                  75,            0.019606,            0.014809,           0.0017665,             0.99628,             0.99355,             0.99489,             0.77748,            0.017983,            0.011257,           0.0010836,           0.0096337,           0.0096337,           0.0096337
                  76,            0.019884,            0.014851,            0.001691,             0.99526,             0.99585,             0.99494,             0.78885,            0.017303,            0.011159,          0.00098277,           0.0096288,           0.0096288,           0.0096288
                  77,            0.018873,            0.014216,           0.0017691,             0.99635,             0.99466,             0.99489,             0.78031,            0.017353,            0.011131,           0.0011056,           0.0096238,           0.0096238,           0.0096238
                  78,            0.019114,            0.014634,           0.0017497,             0.99849,              0.9907,              0.9949,             0.78602,            0.017112,            0.011205,          0.00096082,           0.0096188,           0.0096188,           0.0096188
                  79,            0.019372,            0.014678,           0.0016535,             0.99597,              0.9966,             0.99479,             0.78719,             0.01713,            0.011175,           0.0010405,           0.0096139,           0.0096139,           0.0096139
                  80,            0.019887,            0.015072,           0.0017608,              0.9977,             0.99666,               0.995,             0.79057,            0.017342,             0.01122,          0.00094448,            0.009609,            0.009609,            0.009609
                  81,            0.019351,            0.014804,           0.0017257,             0.99589,             0.99667,             0.99496,             0.79035,             0.01689,            0.011117,           0.0011005,            0.009604,            0.009604,            0.009604
                  82,            0.019765,             0.01426,           0.0015863,             0.99737,             0.99557,             0.99496,             0.78238,            0.017261,            0.011132,          0.00091423,            0.009599,            0.009599,            0.009599
                  83,            0.018791,            0.014082,           0.0018453,             0.99703,             0.99758,               0.995,             0.78404,            0.017531,            0.011194,           0.0011582,           0.0095941,           0.0095941,           0.0095941
                  84,            0.019726,            0.014591,           0.0017506,              0.9987,             0.99584,             0.99489,             0.78565,            0.017125,            0.011125,          0.00093523,           0.0095892,           0.0095892,           0.0095892
                  85,            0.018935,            0.014906,           0.0017223,             0.99864,             0.99673,             0.99491,             0.79039,            0.016954,            0.011007,          0.00093878,           0.0095842,           0.0095842,           0.0095842
                  86,            0.019318,            0.014585,            0.001795,             0.99774,             0.99224,              0.9946,             0.76621,            0.017842,            0.011227,           0.0010759,           0.0095793,           0.0095793,           0.0095793
                  87,            0.018652,            0.014189,           0.0016876,             0.99685,             0.99777,             0.99487,             0.79673,            0.016822,            0.011007,          0.00097618,           0.0095743,           0.0095743,           0.0095743
                  88,            0.018731,            0.014358,           0.0018474,             0.99735,             0.99761,             0.99489,             0.79061,            0.017282,            0.010959,          0.00097898,           0.0095694,           0.0095694,           0.0095694
                  89,            0.017658,            0.013897,           0.0015177,             0.99761,             0.99556,             0.99488,             0.78354,            0.017159,            0.011023,           0.0010786,           0.0095644,           0.0095644,           0.0095644
                  90,            0.019413,            0.015233,           0.0017866,             0.99691,             0.99556,             0.99498,             0.78536,            0.017045,            0.011139,          0.00098113,           0.0095595,           0.0095595,           0.0095595
                  91,            0.019448,            0.014643,           0.0016776,             0.99782,             0.99557,             0.99496,             0.78744,            0.017219,            0.011103,          0.00095117,           0.0095545,           0.0095545,           0.0095545
                  92,            0.019288,            0.015018,           0.0016786,             0.99864,             0.99654,              0.9949,             0.78742,            0.017162,            0.011099,          0.00094892,           0.0095496,           0.0095496,           0.0095496
